Cod_Hystra;UTM_NY;UTM_EX;HEIGHT;DATA_INST;DATA_DISINST
T0228;702547.0;5144578.0;2040.000;2002-08-30;2013-06-25
T0229;703949.0;5152028.0;2050.000;2002-09-02;2013-06-25
T0231;708465.0;5149272.0;1385.000;2002-09-01;2013-05-02
T0232;618420.0;5076994.0;995.000;2000-11-02;2009-12-17
T0233;632759.0;5103801.0;622.000;1988-01-01;2009-12-17
T0236;662908.0;5139641.0;958.000;1923-11-01;2012-05-02
T0237;709528.0;5149969.0;1400.000;1974-01-01;2009-12-17
T0238;629162.0;5141446.0;1950.000;1930-01-01;2009-12-17
T0239;640265.0;5117675.0;1150.000;1982-01-01;2009-12-17
T0240;642847.0;5139340.0;1010.000;1976-01-01;2009-12-17
T0241;639864.0;5141285.0;1310.000;1975-01-01;2012-05-08
T0242;713904.0;5112684.0;577.000;1975-01-01;2009-12-17
T0243;678419.0;5101337.0;1490.000;1935-01-01;2011-12-28
T0245;678720.0;5097854.0;512.000;1921-01-01;2009-12-17
T0246;676985.0;5097755.0;440.000;1949-01-01;2009-12-17
T0262;657674.0;5113051.0;1850.000;1931-08-01;2011-12-28
T0267;706008.0;5132138.0;1415.000;1921-01-01;2009-12-17
T0286;640913.0;5121295.0;1510.000;1921-02-01;2009-12-17
T0298;643168.0;5083635.0;82.000;1921-01-01;2009-12-17
T0355;705758.0;5110449.0;1610.000;1988-01-09;2013-07-30
T0360;623059.0;5124454.0;1875.000;1987-11-27;2013-07-30
T0363;668271.0;5068619.0;1550.000;1998-02-14;2013-07-30
T0364;621849.0;5120593.0;2730.000;2000-07-17;2013-07-30
T0365;622123.0;5119706.0;3015.000;1994-12-14;2013-10-03
T0366;629091.0;5135910.0;1585.000;2002-05-17;2013-07-12
T0367;688863.0;5128611.0;958.000;1999-11-04;2012-05-02
T0368;659073.0;5097617.0;1490.000;1999-11-25;2012-09-25
T0369;671071.0;5087380.0;1360.000;1999-08-05;2012-09-25
T0370;619274.0;5076207.0;392.000;2000-09-22;2013-05-02
T0371;671741.0;5111977.0;705.000;2000-07-14;2013-05-02
T0372;625460.0;5137988.0;2975.000;2002-09-22;2013-05-02
T0373;617135.0;5101043.0;1785.000;2002-10-03;2012-09-25
T0375;719732.0;5147440.0;2676.000;2001-06-04;2013-08-27
T0377;718320.0;5127352.0;2685.000;2004-11-25;2013-05-02
T0322;646011.0;5087135.0;115.000;2004-05-31;2013-05-02
T0323;656324.0;5124913.0;610.000;2004-03-30;2013-05-02
T0324;626499.0;5088029.0;680.000;2003-12-03;2013-05-02
T0325;633257.0;5102229.0;840.000;2003-12-18;2013-06-25
T0326;668879.0;5097384.0;815.000;2004-04-22;2013-05-02
T0327;657889.0;5098504.0;1552.000;2004-08-18;2013-05-02
T0308;631108.0;5143326.0;2635.000;1971-01-01;2013-07-08
T0378;621580.0;5117659.0;2390.000;;2013-05-02
T0379;650367.0;5094106.0;282.000;2007-02-13;2013-06-25
T0436;645977.0;5115115.0;2580.000;2007-06-30;2013-07-30
T0380;624098.1;5133197.8;1945.000;2011-10-18;2013-06-25
T0381;665036.0;5071822.0;737.000;2012-04-19;2013-06-07
T0382;639921.0;5114787.0;1899.000;2011-11-24;2013-06-25
T0383;651190.0;5111643.0;835.000;2007-05-30;2012-12-03
T0384;688353.0;5116389.0;2035.000;2011-08-18;2013-06-25
T0385;628737.0;5092172.0;743.000;1950-12-31;2013-06-25
T0386;663192.0;5108223.0;203.000;1974-11-01;2013-06-25
T0387;702230.0;5109372.0;1080.000;1924-01-01;2012-09-27
T0388;664546.0;5098109.0;184.000;;2013-05-02
T0389;700103.0;5130422.0;1000.000;2012-06-13;2013-01-17
T0390;681939.0;5111958.0;1400.000;1921-01-01;2012-10-15
T0391;714937.0;5152144.0;2140.000;1921-01-01;2012-09-27
T0392;691634.0;5103481.0;410.000;2012-06-18;2013-01-17
T0393;621302.0;5078206.0;385.000;2012-06-07;2013-01-17
T0394;718283.0;5117442.0;715.000;1911-09-01;2013-06-25
T0395;667154.0;5084260.0;1248.000;;2012-12-12
T0397;656922.0;5136199.0;655.000;2012-05-23;2013-01-17
T0399;663595.0;5144885.0;910.000;2012-05-23;2013-01-17
T0401;646360.0;5085821.0;85.000;2012-05-30;2013-01-17
T0402;633823.0;5083898.0;710.000;2012-06-06;2013-01-17
T0405;657305.0;5072278.0;170.000;2012-05-17;2013-01-17
T0407;700637.0;5095083.0;1345.000;2012-07-03;2013-07-30
T0408;662413.0;5117003.0;204.000;2012-05-31;2013-01-17
T0409;673310.0;5102322.0;458.000;2012-06-08;2013-01-17
T0410;621051.0;5092065.0;897.000;2007-05-12;2013-01-17
T0411;628402.0;5104386.0;1203.000;2011-10-13;2013-06-25
T0412;634949.0;5092362.0;1695.000;2011-11-26;2013-06-25
T0413;645326.0;5110599.0;1888.000;2011-11-18;2013-06-25
T0414;647821.0;5103185.0;685.000;2007-06-20;2012-05-02
T0415;645141.0;5143918.0;1815.000;2012-05-16;2013-06-25
T0416;630545.0;5127003.0;1575.000;2011-10-19;2013-06-25
T0417;654247.0;5146442.0;1100.000;2012-03-14;2013-01-17
T0418;656802.0;5152784.0;1815.000;2012-05-30;2013-06-25
T0419;721120.0;5120205.0;1045.000;2007-05-11;2013-01-17
T0420;717192.0;5115072.0;640.000;2007-05-11;2012-09-27
T0421;707093.3;5118869.0;803.000;2007-05-15;2013-01-17
T0422;700825.0;5112173.0;1435.000;2007-05-03;2013-01-17
T0423;705674.0;5098191.0;238.000;2007-05-11;2013-01-17
T0424;685683.0;5107518.0;1710.000;2012-06-20;2013-06-25
T0425;669122.0;5069571.0;1170.000;2012-05-16;2013-06-25
T0426;637113.5;5111966.7;877.000;2011-12-15;2012-04-05
T0428;627311.0;5088761.0;525.000;2007-06-20;2013-01-17
T0429;715525.0;5120096.0;1605.000;2007-05-23;2013-06-25
T0430;622037.0;5121498.0;2606.000;2010-10-22;2013-06-07
T0431;680041.0;5125927.0;1055.000;2012-04-04;2013-01-17
T0432;684169.0;5097473.0;956.000;2007-05-24;2013-01-17
T0433;626172.7;5115511.3;1418.000;2011-10-06;2013-06-25
T0435;641422.0;5122894.0;1775.000;2011-10-05;2013-01-17
T0437;712386.0;5150914.0;1465.000;2012-03-28;2013-01-17
T0354;630778.0;5077834.0;1560.000;1988-01-08;2013-07-30
T0374;659896.0;5074723.0;1620.000;2003-06-12;2013-01-17
T0359;644064.0;5082116.0;65.000;2000-07-20;2013-06-25
T0356;664577.0;5098037.0;185.000;2012-11-30;2013-06-07
T0001;672997.0;5103399.0;475.000;1921-01-01;2010-07-30
T0003;675227.0;5098287.0;569.000;1950-01-01;2009-12-17
T0009;673086.0;5093159.0;805.000;1929-12-01;2012-02-09
T0010;678439.0;5097804.0;502.000;1981-01-01;2012-05-02
T0014;692745.0;5109911.0;925.000;1923-10-01;2012-05-02
T0015;697711.0;5106236.0;843.000;1923-10-01;2012-05-02
T0017;699681.0;5111863.0;2030.000;1943-01-01;2012-09-13
T0018;702598.0;5105189.0;785.000;1942-01-01;2012-09-13
T0021;715896.0;5126893.0;1450.000;1921-01-01;2013-07-30
T0024;724923.0;5119914.0;1322.000;1975-01-01;2012-05-02
T0026;718887.0;5117868.0;744.000;1926-01-01;2009-12-17
T0027;719290.0;5113387.0;1030.000;1981-01-01;2012-10-29
T0029;705345.0;5120204.0;908.000;1921-01-01;2011-12-29
T0265;707346.0;5148413.0;1380.000;1923-09-01;2013-06-25
T0376;694697.0;5135677.0;2200.000;2000-07-20;2009-12-17
